"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"14","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:40:01,FALSE,NA,"936711507387273218",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lone_staar",98,TRUE,FALSE,NA,NA
"15","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:39:58,FALSE,NA,"936711496079495168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndreaLaCorte14",98,TRUE,FALSE,NA,NA
"16","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:39:51,FALSE,NA,"936711467365294080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ianmac234",98,TRUE,FALSE,NA,NA
"17","Rockets: James Harden named Western Conference Player of the Month; led NBA with 31.5 PPGhttp://es.pn/app https://t.co/Qx8qfqMrfU",FALSE,0,NA,2017-12-01 21:39:48,FALSE,NA,"936711455164026880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanchezdbest",0,FALSE,FALSE,NA,NA
"18","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:39:48,FALSE,NA,"936711451997286401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","p2s08",640,TRUE,FALSE,NA,NA
"19","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:39:44,FALSE,NA,"936711436260249605",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeabassGarza",98,TRUE,FALSE,NA,NA
"20","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:39:41,FALSE,NA,"936711424038055937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davidcoll_6",640,TRUE,FALSE,NA,NA
"21","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:39:39,FALSE,NA,"936711415125200897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","p2s08",98,TRUE,FALSE,NA,NA
"22","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:39:38,FALSE,NA,"936711412369342465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnythingGoes999",640,TRUE,FALSE,NA,NA
"23","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:39:38,FALSE,NA,"936711410456948737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaptainNakaji",640,TRUE,FALSE,NA,NA
